Fund Name,Jan 2026,Feb 2026,Aug 2020 (sample)
MANULIFE DRAGON GROWTH EQUITY FEEDER FUND PHP UNHEDGED SHARE CLASS A,,,
Manulife Dragon Growth Equity Feeder Fund USD Share Class A,,,
MANULIFE DRAGON GROWTH EQUITY FEEDER FUND USD SHARE CLASS I,,,
Manulife Equity Wealth Fund (Class A),,,2460000000
Manulife Equity Wealth Fund (Class I),,,2460000000
MANULIFE GLOBAL CLEAN ENERGY EQUITY FEEDER FUND PHP-UNHEDGED SHARE CLASS A,,,
MANULIFE GLOBAL CLEAN ENERGY EQUITY FEEDER FUND USD-SHARE CLASS A,,,
Manulife Global Health Care Equity Feeder Fund USD Share Class A,,,
Manulife Global Multi-Asset Diversified Income Feeder Fund,,,
Manulife Global Preferred Income Feeder Fund (USD Class A),,,
MANULIFE GLOBAL TECHNOLOGY EQUITY FEEDER FUND PHP-UNHEDGED SHARE CLASS A,,,
MANULIFE GLOBAL TECHNOLOGY EQUITY FEEDER FUND USD SHARE CLASS A,,,
Manulife Income Builder Fund (Class A),,,1270000000
Manulife Income Builder Fund (Class I),,,1270000000
Manulife Peso Equity Fund,,,
Manulife Peso Growth Fund,,,
Manulife Stable Income Fund (Class A),,,
Manulife Stable Income Fund (Class I),,,
Maybank Tiger Dollar Bond Feeder Fund,,,
Maybank Tiger Medium Term Peso Bond Fund,,,
Maybank Tiger Peso Bond Feeder Fund,,,
Maybank Tiger Peso Money Market Feeder Fund,,,
MAYBANK TIGER USD ASIAN INCOME FEEDER FUND,,,
"MBG Equity Investment Fund, Inc.",,,
Metro Aspire Balanced Feeder Fund,,,
Metro Aspire Bond Feeder Fund,,,
Metro Aspire Equity Feeder Fund,,,
Metro Balanced Fund,,,1320000000
Metro Clean Energy Equity Feeder Fund,,,
Metro Corporate Bond Fund,,,378130000
Metro Equity Fund,,,4310000000
Metro High Dividend Yield Unit Paying Fund,,,570000000
Metro Max-3 Bond Fund,,,1310000000
Metro Max-5 Bond Fund,,,2240000000
Metro Money Market Fund,,,68820000000
Metro PSEi Tracker Fund,,,6600000000
Metro Short Term Fund,,,90010000000
Metro Unit Paying Fund,,,
Metro Wealth Builder Fund,,,
Metro$ World Equity Feeder Fund,,,
Metro$ Asian Investment Grade Bond Fund,,,3970000
Metro$ Max-3 Bond Fund,,,2750000
Metro$ Max-5 Bond Fund,,,31280000
Metro$ Money Market Fund,,,278980000
Metro$ Eurozone Equity Feeder Fund,,,3030000
Metro$ Japan Equity Feeder Fund,,,1650000
Metro$ US Equity Feeder Fund,,,8620000
Metro$ Short Term Fund,,,117320000
Metro$ US Investment Grade Corporate Bond Feeder Fund,,,
"NCM Mutual Fund of the Phils., Inc.",,,
Odyssey Asia Pacific High Dividend Equity Feeder Fund,12808909.25,,10360107.85
Odyssey Diversified Balanced Fund,0,,990469353.79
Odyssey Diversified Capital Fund,695668146.46,,1628222481.17
Odyssey High Conviction Equity Fund,513615435.09,,918697935.29
Odyssey Peso Bond Fund,1414787360.77,,3223767457.54
Odyssey Peso Medium Term Bond Fund,0,,4203140416.54
Odyssey Philippine Dollar Bond Fund,7888667.41,,19041047.16
Odyssey Philippine Equity Fund,-582.41,,1024723002.83
"One Wealthy Nation Fund, Inc.",,,
"PAMI Asia Balanced Fund, Inc.","5,650,000.00",,
"PAMI Equity Index Fund, Inc.","894,580,000.00",,
"PAMI Global Bond Fund Phils., Inc.","1,070,000.00",,
"PAMI Horizon Fund, Inc.","404,170,000.00",,
Peso Investment Trust Fund,,,
"Philam Bond Fund, Inc.","1,318,640,000.00",,
"Philam Dollar Bond Fund, Inc.","26,690,000.00",,
"Philam Fund, Inc.","1,691,140,000.00",,
"Philam Managed Income Fund, Inc.","483,890,000.00",,
"Philam Strategic Growth Fund, Inc.","2,836,020,000.00",,
Philequity Alpha One Fund,,,
"Philequity Dividend Yield Fund, Inc.",,,1916000000
"Philequity Dollar Income Fund, Inc.",,,6000000
"Philequity Fund, Inc.",,,8970000000
"Philequity Peso Bond Fund, Inc.",,,260000000
"Philequity PSE Index Fund, Inc.",,,3110000000
Philippine Stock Index Fund,5335891148.2,,9436729472.8
Philippine Stock Index Fund (Units),536875472.76,,
PNB Multi-Asset Fund,,,
PNB DREAM BUILDER MONEY MARKET FUND,,,42860000
PNB Equity Fund,,,158910000
PNB Prestige Peso Money Market Fund,,,2330000000
PNB Global Filipino Dollar Money Market Fund,,,19.35
PNB GLOBAL FILIPINO PESO MONEY MARKET FUND,,,1458.3
PNB Global Growth Equity Feeder Fund,,,
PNB High Dividend Fund,,,690950000
PNB Institutional Money Market Fund,,,1140000000
PNB Profit Peso Bond Fund,,,261360000
PNB Phil-Index ,,,985240000
PNB Prime Dollar Money Market Fund,,,22410000
PNB Prime Peso Money Market Fund,,,16450000000
PNB Profit Dollar Bond Fund,,,3630000
PNB US Equity Sustainability Leaders Feeder Fund,,,
ATRAM Philippine Equity Leaders Fund (Class A),,,
ATRAM Philippine Equity Leaders Fund (Class I),,,
ATRAM Peso Liquid Fund (Class A),,,
ATRAM Peso Liquid Fund (Class I),,,
ATRAM Peso Liquid Fund (Class V),,,
